x,y
1.199999999999999956e-01,1.198308270676691628e-01
1.174624060150375876e-01,1.199999999999999956e-01
1.149248120300751796e-01,1.199999999999999956e-01
1.123872180451127717e-01,1.199999999999999956e-01
1.098496240601503637e-01,1.199999999999999956e-01
1.073120300751879558e-01,1.199999999999999956e-01
1.047744360902255617e-01,1.199999999999999956e-01
1.022368421052631537e-01,1.199999999999999956e-01
9.969924812030074579e-02,1.193233082706766923e-01
9.716165413533833783e-02,1.184774436090225563e-01
9.462406015037592988e-02,1.184774436090225563e-01
9.208646616541352192e-02,1.184774436090225563e-01
8.971804511278194671e-02,1.176315789473684204e-01
8.904135338345864348e-02,1.150939849624060124e-01
8.904135338345864348e-02,1.125563909774436044e-01
8.904135338345864348e-02,1.100187969924811965e-01
8.734962406015037151e-02,1.086654135338345900e-01
8.481203007518797743e-02,1.086654135338345900e-01
8.227443609022555560e-02,1.088345864661654089e-01
7.973684210526314764e-02,1.090037593984962416e-01
7.719924812030075356e-02,1.090037593984962416e-01
7.466165413533834561e-02,1.090037593984962416e-01
7.212406015037593765e-02,1.090037593984962416e-01
6.958646616541352969e-02,1.088345864661654089e-01
6.704887218045112174e-02,1.084962406015037573e-01
6.451127819548871378e-02,1.084962406015037573e-01
6.197368421052631277e-02,1.084962406015037573e-01
5.943609022556390481e-02,1.084962406015037573e-01
5.689849624060150379e-02,1.084962406015037573e-01
5.436090225563909584e-02,1.084962406015037573e-01
5.182330827067668788e-02,1.084962406015037573e-01
4.928571428571427993e-02,1.083270676691729245e-01
4.674812030075187197e-02,1.083270676691729245e-01
4.421052631578947095e-02,1.084962406015037573e-01
4.167293233082706994e-02,1.084962406015037573e-01
3.913533834586466198e-02,1.084962406015037573e-01
3.659774436090225402e-02,1.084962406015037573e-01
3.406015037593984607e-02,1.084962406015037573e-01
3.152255639097744505e-02,1.084962406015037573e-01
3.016917293233082470e-02,1.068045112781954853e-01
3.016917293233082470e-02,1.042669172932330773e-01
3.016917293233082470e-02,1.017293233082706694e-01
3.016917293233082470e-02,9.919172932330827530e-02
3.016917293233082470e-02,9.665413533834585347e-02
2.999999999999999889e-02,9.411654135338345939e-02
2.999999999999999889e-02,9.157894736842105143e-02
3.016917293233082470e-02,8.904135338345864348e-02
2.999999999999999889e-02,8.650375939849624940e-02
2.999999999999999889e-02,8.396616541353382757e-02
2.999999999999999889e-02,8.142857142857143349e-02
2.999999999999999889e-02,7.889097744360902553e-02
2.999999999999999889e-02,7.635338345864661758e-02
3.050751879699247979e-02,7.381578947368422350e-02
3.067669172932330560e-02,7.127819548872180166e-02
3.050751879699247979e-02,6.874060150375939371e-02
3.033834586466165398e-02,6.620300751879698575e-02
3.050751879699247979e-02,6.366541353383459168e-02
3.050751879699247979e-02,6.112781954887218372e-02
3.050751879699247979e-02,5.859022556390977576e-02
3.084586466165413488e-02,5.605263157894736781e-02
3.270676691729323265e-02,5.486842105263158020e-02
3.524436090225563367e-02,5.486842105263158020e-02
3.778195488721804163e-02,5.486842105263158020e-02
4.031954887218044958e-02,5.486842105263158020e-02
4.285714285714285754e-02,5.503759398496241295e-02
4.539473684210525856e-02,5.503759398496241295e-02
4.793233082706766651e-02,5.503759398496241295e-02
5.046992481203007447e-02,5.503759398496241295e-02
5.300751879699247548e-02,5.486842105263158020e-02
5.554511278195488344e-02,5.486842105263158020e-02
5.808270676691729140e-02,5.469924812030074746e-02
6.062030075187969935e-02,5.436090225563909584e-02
6.315789473684210731e-02,5.469924812030074746e-02
6.569548872180450139e-02,5.469924812030074746e-02
6.823308270676692322e-02,5.469924812030074746e-02
7.077067669172931730e-02,5.453007518796992859e-02
7.330827067669172525e-02,5.453007518796992859e-02
7.584586466165413321e-02,5.469924812030074746e-02
7.838345864661652729e-02,5.469924812030074746e-02
7.990601503759398039e-02,5.334586466165414098e-02
7.990601503759398039e-02,5.080827067669173303e-02
8.075187969924810250e-02,4.827067669172932507e-02
8.159774436090225236e-02,4.573308270676691711e-02
8.176691729323307123e-02,4.319548872180452304e-02
8.193609022556390398e-02,4.065789473684210120e-02
8.193609022556390398e-02,3.812030075187969325e-02
8.261278195488722109e-02,3.558270676691729917e-02
8.481203007518797743e-02,3.473684210526316318e-02
8.734962406015037151e-02,3.456766917293234431e-02
8.988721804511277946e-02,3.456766917293234431e-02
9.242481203007518742e-02,3.473684210526316318e-02
9.496240601503758150e-02,3.490601503759398205e-02
9.750000000000000333e-02,3.490601503759398205e-02
1.000375939849623974e-01,3.490601503759398205e-02
1.025751879699248054e-01,3.507518796992481480e-02
1.051127819548871994e-01,3.541353383458646642e-02
1.076503759398496213e-01,3.541353383458646642e-02
1.101879699248120292e-01,3.507518796992481480e-02
1.127255639097744233e-01,3.490601503759398205e-02
1.152631578947368313e-01,3.490601503759398205e-02
1.178007518796992392e-01,3.490601503759398205e-02
